,Job Title,Min Salary Estimate,Max Salary Estimate,Rating,Company Name,City,State,HCity,HState,Size,Founded,Type of ownership,Industry,Sector,Revenue,Number of Competitors,Easy Apply
54,Data Scientist / Big Data Analytics Analyst,46000.0,87000,3.6,"TSR, Inc.",Weehawken,NJ,Hauppauge,NY,201-500,1969,Public Company,Staffing & Outsourcing,Business Services,50 to 100 million,,
55,Data Reporting Analyst,46000.0,87000,-1.0,NADAP NYS INC.,New York,NY,,,,-1,,,,,,
56,"Principal Data Analyst, LATAM - Disney Streaming Services",46000.0,87000,4.0,Walt Disney Co.,New York,NY,Burbank,CA,10000+,1923,Public Company,Motion Picture Production & Distribution,Media,10+ billion,3.0,
57,Data Analyst II,46000.0,87000,3.2,Fragomen Worldwide,New York,NY,New York,NY,1001-5000,1951,Private Company,Legal,Accounting & Legal,500 million to 1 billion,,
58,"Data Analyst - Environmental, Social, and Governance",46000.0,87000,3.8,Bloomberg,New York,NY,New York,NY,10000+,1981,Private Company,Computer Hardware & Software,Information Technology,,3.0,
59,Data Analyst,46000.0,87000,3.9,Real Capital Analytics,New York,NY,New York,NY,51-200,2000,Private Company,Real Estate,Real Estate,25 to 50 million,,
60,"Data Analyst, Revenue Analytics",51000.0,88000,4.8,Ro,New York,NY,New York,NY,51-200,2017,Private Company,Health Care Services & Hospitals,Health Care,,,
61,Data Analyst - Data Acquisition / Data Lineage,51000.0,88000,3.6,Perficient,New York,NY,Saint Louis,MO,1001-5000,1998,Public Company,IT Services,Information Technology,500 million to 1 billion,,
62,Data Analyst - Data Scanning utilizing Rochade,51000.0,88000,3.6,Perficient,New York,NY,Saint Louis,MO,1001-5000,1998,Public Company,IT Services,Information Technology,500 million to 1 billion,,
63,Data Analyst - Stitching,51000.0,88000,3.6,Perficient,New York,NY,Saint Louis,MO,1001-5000,1998,Public Company,IT Services,Information Technology,500 million to 1 billion,,
64,Junior Data Analyst,51000.0,88000,4.1,Kforce,New York,NY,Tampa,FL,10000+,1966,Public Company,Staffing & Outsourcing,Business Services,1 to 2 billion,,
65,"Data Analyst, Retail Media",51000.0,88000,3.9,Criteo,New York,NY,Paris,France,1001-5000,2005,Public Company,Internet,Information Technology,2 to 5 billion,3.0,
66,Data Analyst,51000.0,88000,3.0,Royal Communications,New York,NY,New York,NY,1-50,-1,Private Company,IT Services,Information Technology,1 to 5 million,,
67,Portfolio Data Analyst,51000.0,88000,3.7,Neuberger Berman,New York,NY,New York,NY,1001-5000,1939,Private Company,Investment Banking & Asset Management,Finance,500 million to 1 billion,3.0,
68,Data Science Analyst,51000.0,88000,-1.0,Greater New York Mutual Insurance Companies (GNY),New York,NY,,,,-1,,,,,,
69,Data/Reporting Analyst,51000.0,88000,3.9,Diverse Lynx,New York,NY,Princeton,NJ,501-1000,2002,Private Company,IT Services,Information Technology,100 to 500 million,,
70,Data Analyst 2,51000.0,88000,3.7,eTeam Inc.,New York,NY,South Plainfield,NJ,51-200,1999,Private Company,Staffing & Outsourcing,Business Services,50 to 100 million,3.0,
71,Entry Level Data Analyst,51000.0,88000,-1.0,impakt Advisors,New York,NY,New York,NY,1-50,-1,Private Company,Consulting,Business Services,,,
72,Marketing Data Analyst,51000.0,88000,3.6,Current,New York,NY,Colorado Springs,CO,201-500,-1,Public Company,,,,,
73,Data/Information Mgt Analyst,51000.0,88000,3.7,Citi,New York,NY,New York,NY,10000+,1812,Public Company,Investment Banking & Asset Management,Finance,10+ billion,,
74,Business Data Analyst,51000.0,88000,3.6,Axelon Services Corporation,New York,NY,New York,NY,501-1000,-1,Private Company,Staffing & Outsourcing,Business Services,100 to 500 million,,
75,Information Systems Officer (Data Analyst),51000.0,88000,4.1,United Nations,New York,NY,New York,NY,10000+,1945,Government,Federal Agencies,Government,,,
76,Media Science Big Data Analyst,51000.0,88000,3.5,"Discovery Communications, Inc.",New York,NY,New York,NY,10000+,1985,Public Company,TV Broadcast & Cable Networks,Media,5 to 10 billion,,
77,Data Analyst,51000.0,88000,3.7,Randstad,Jersey City,NJ,Atlanta,GA,1001-5000,-1,Business,Staffing & Outsourcing,Business Services,,,
78,Data Analyst,51000.0,88000,5.0,Mulberry Technology,New York,NY,New York,NY (US),1-50,-1,Private Company,,,,,
79,Data analyst with Python,51000.0,88000,4.0,Two95 International Inc.,New York,NY,Cherry Hill,NJ,1-50,-1,Private Company,Staffing & Outsourcing,Business Services,1 to 5 million,,
80,Data Analyst,51000.0,88000,4.8,SoftStandard Solutions,New York,NY,Fremont,CA,51-200,-1,Private Company,,,,,
81,Data Analyst,51000.0,88000,5.0,"EDO, Inc.",New York,NY,Los Angeles,CA,1-50,-1,Private Company,Internet,Information Technology,,,
82,"Healthcare Data Analyst, Qsight",51000.0,88000,3.3,Guidepoint,New York,NY,New York,NY,501-1000,2003,Private Company,Research & Development,Business Services,,3.0,True
83,BA/Data Analyst,51000.0,88000,4.1,Mitchell Martin,New York,NY,New York,NY,501-1000,1984,Private Company,Staffing & Outsourcing,Business Services,100 to 500 million,,
84,Data Analyst Python,51000.0,88000,4.0,Lorven Technologies Inc,New York,NY,Plainsboro,NJ,1-50,-1,Private Company,Accounting,Accounting & Legal,Less than 1 million,,
85,"Data Analyst, Bitcoin Trading Firm",51000.0,88000,-1.0,Fintech Recruiters,New York,NY,Dublin,Ireland,,-1,Private Company,,,,,
86,Data Analyst-BA,51000.0,88000,1.0,Sphinix Network Solutions Inc.,New York,NY,New York,NY,1-50,-1,Private Company,IT Services,Information Technology,Less than 1 million,,
87,Data Analytics Solutions Analyst,51000.0,88000,3.1,Praescient Analytics,New York,NY,Alexandria,VA,51-200,2011,Private Company,Consulting,Business Services,10 to 25 million,,
88,Quantitative Data Analyst,51000.0,88000,4.5,Global Atlantic Financial Group,New York,NY,New York,NY,1001-5000,2004,Private Company,Insurance Carriers,Insurance,,,True
89,Data Analyst,51000.0,88000,3.4,FINRA,New York,NY,Washington,DC,1001-5000,2007,Nonprofit Organization,Brokerage Services,Finance,500 million to 1 billion,,
90,Data Analyst,51000.0,87000,-1.0,NYU Langone Medical Center,New York,NY,,,,-1,,,,,,
91,"Descriptive Analytics Data Analyst, IB",51000.0,87000,3.6,Jefferies,New York,NY,New York,NY,1001-5000,1962,Public Company,Investment Banking & Asset Management,Finance,2 to 5 billion,,
92,Data Analyst,51000.0,87000,4.1,RGP,New York,NY,Irvine,CA,1001-5000,1996,Public Company,Consulting,Business Services,500 million to 1 billion,3.0,
93,Data Analyst,51000.0,87000,4.4,Tachyon Technologies,New York,NY,Irving,TX,201-500,2011,Private Company,IT Services,Information Technology,10 to 25 million,,
94,Data Analyst,51000.0,87000,3.8,Apex Systems,Jersey City,NJ,Glen Allen,VA,1001-5000,1995,Business,Staffing & Outsourcing,Business Services,2 to 5 billion,3.0,True
95,Data Analyst,51000.0,87000,3.2,Hagerty Consulting,New York,NY,Evanston,IL,1-50,-1,Private Company,Consulting,Business Services,1 to 5 million,,
96,Data Analyst,51000.0,87000,-1.0,Gainful Health,New York,NY,San Mateo,CA,1-50,-1,Private Company,Food & Beverage Stores,Retail,,,
97,Business Data Analyst,51000.0,87000,3.8,Cortex consultants LLC,New York,NY,North Brunswick,NJ,501-1000,-1,Private Company,Consulting,Business Services,,,
98,Data Analyst,51000.0,87000,4.7,Medly Pharmacy,Brooklyn,NY,Brooklyn,NY,201-500,2017,,Health Care Services & Hospitals,Health Care,,,
99,Healthcare Data Analyst,51000.0,87000,2.3,Fair Health,New York,NY,New York,NY,1-50,-1,Nonprofit Organization,,,10 to 25 million,,
100,Supply Chain Data Analyst,51000.0,87000,3.8,Peloton Interactive,New York,NY,New York,NY,1001-5000,2012,Public Company,"Health, Beauty, & Fitness",Consumer Services,,,True
101,Data Analyst - IBM Tool Set,51000.0,87000,4.6,ektello,New York,NY,Troy,MI,201-500,2011,Private Company,Staffing & Outsourcing,Business Services,10 to 25 million,,
102,Analyst-Data Integrity,51000.0,87000,3.0,"Premier, Inc.",New York,NY,Charlotte,NC,1001-5000,1967,Public Company,Health Care Services & Hospitals,Health Care,1 to 2 billion,,
103,"Reference Data Operations Analyst - Index Instrument, Associate",51000.0,87000,3.9,JPMorgan Chase,New York,NY,New York,NY,10000+,1799,Public Company,Investment Banking & Asset Management,Finance,10+ billion,,
104,Data Analyst,51000.0,87000,3.0,Fund for Public Health,Long Island City,NY,New York,NY,201-500,-1,Nonprofit Organization,Social Assistance,Non-Profit,25 to 50 million,,
105,Data & Service Health Analyst,51000.0,87000,4.2,BlueVoyant,New York,NY,New York,NY,51-200,-1,Private Company,,,,,
106,Data/Systems Analyst,51000.0,87000,5.0,Crossfire Consulting Corporation,New York,NY,Yorktown Heights,NY,51-200,-1,Private Company,Consulting,Business Services,5 to 10 million,,
107,Data Analyst,51000.0,87000,4.0,Reliable Software Resources,New York,NY,Northville,MI,501-1000,2004,Private Company,IT Services,Information Technology,50 to 100 million,,
108,Data Analyst,51000.0,87000,-1.0,Hyde Leadership Brooklyn,Brooklyn,NY,Brooklyn,NY,51-200,-1,Education,,,,,
109,Data Analyst,51000.0,87000,-1.0,Vertex Intel Systems,Jersey City,NJ,,,,-1,,,,,,
110,Data Analyst Intern,51000.0,87000,3.6,My Job Tank,Jersey City,NJ,New York,NY,51-200,-1,Private Company,IT Services,Information Technology,,,True
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",51000.0,87000,3.7,Cowen,New York,NY,New York,NY,501-1000,1918,Public Company,Investment Banking & Asset Management,Finance,100 to 500 million,3.0,
112,Data Reporting Analyst,51000.0,87000,3.5,Robert Half,New York,NY,Menlo Park,CA,10000+,1948,Public Company,Staffing & Outsourcing,Business Services,2 to 5 billion,2.0,
113,Data Analyst,51000.0,87000,2.8,FJA-US Inc.,New York,NY,New York,NY,51-200,1994,Business,Computer Hardware & Software,Information Technology,25 to 50 million,2.0,
114,Data Analyst,51000.0,87000,5.0,Averity,New York,NY,New York,NY,1-50,2014,Private Company,Staffing & Outsourcing,Business Services,,,
115,Data Analyst,51000.0,87000,3.8,Capgemini,Jersey City,NJ,Paris,France,10000+,1967,Public Company,Enterprise Software & Network Solutions,Information Technology,10+ billion,3.0,
116,ERP Data Analyst,51000.0,87000,3.4,Wildlife Conservation Society,New York,NY,Bronx,NY,1001-5000,1895,Nonprofit Organization,Social Assistance,Non-Profit,100 to 500 million,,
117,Data Analyst,51000.0,87000,3.6,Asembia,Florham Park,NJ,Florham Park,NJ,501-1000,2004,Private Company,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,5 to 10 million,,
118,Healthcare Data/Reporting Analyst,51000.0,87000,-1.0,Vesta Healthcare,New York,NY,New York,NY,1-50,2018,Private Company,Health Care Services & Hospitals,Health Care,,,
119,PBM Data Analyst,51000.0,87000,3.2,1199SEIU Funds,New York,NY,New York,NY,1001-5000,-1,Nonprofit Organization,Insurance Carriers,Insurance,100 to 500 million,,
120,Data Analyst (Temporary Assignment),59000.0,85000,3.8,Nutrafol,New York,NY,New York,NY,51-200,-1,,"Health, Beauty, & Fitness",Consumer Services,,,
121,Data Analyst,59000.0,85000,3.5,New York Life Insurance Co,New York,NY,New York,NY,10000+,1845,Private Company,Insurance Agencies & Brokerages,Insurance,10+ billion,,
122,Market Data Analyst,59000.0,85000,3.5,"EDP World, Inc.",New York,NY,New York,NY,1-50,1968,Private Company,Staffing & Outsourcing,Business Services,1 to 5 million,,
123,Data Analyst,59000.0,85000,4.1,Phyton Talent Advisors,Jersey City,NJ,New York,NY,1-50,-1,Private Company,,,,,
124,Junior Data Analyst,59000.0,85000,5.0,"Staffigo Technical Services, LLC",New York,NY,Woodridge,IL,51-200,2008,Private Company,IT Services,Information Technology,50 to 100 million,,
125,Microsoft Dynamics CRM Data Analyst,59000.0,85000,3.7,IBM,New York,NY,Armonk,NY,10000+,1911,Public Company,IT Services,Information Technology,10+ billion,3.0,
126,Practice Analyst Data,59000.0,85000,4.0,Northwell Health,Manhasset,NY,Lake Success,NY,10000+,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,10+ billion,2.0,
127,Buyside - Data Scientist/Research Analyst,59000.0,85000,3.3,Huxley,New York,NY,London,United Kingdom,201-500,1995,Private Company,Staffing & Outsourcing,Business Services,25 to 50 million,,
128,Data Analyst - Healthcare Provider Networks and Formularies,59000.0,85000,2.9,Vericred,New York,NY,New York,NY,1-50,2015,Private Company,Internet,Information Technology,,,
129,Electronic Trading Data Analyst,59000.0,85000,3.6,Scotiabank,New York,NY,Toronto,Canada,10000+,1832,Public Company,Investment Banking & Asset Management,Finance,10+ billion,1.0,
130,"Data Analyst, Center for Developing Brain",59000.0,85000,3.2,Child Mind Institute,New York,NY,New York,NY,201-500,2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,25 to 50 million,,
131,Data Processing & Performance Analyst,59000.0,85000,3.1,Balance Innovations,New York,NY,Lenexa,KS,51-200,-1,Private Company,Computer Hardware & Software,Information Technology,1 to 5 million,,
132,Business Analyst - Data Analyst,59000.0,85000,3.4,Asset Staffing,Newark,NJ,New York,NY,201-500,-1,Contract,Staffing & Outsourcing,Business Services,,,
133,Data Analyst with Rochade,59000.0,85000,4.0,Reliable Software Resources,New York,NY,Northville,MI,501-1000,2004,Private Company,IT Services,Information Technology,50 to 100 million,,
134,Advertising Data Analyst,59000.0,85000,4.3,"Hearst Television, Inc",New York,NY,Cincinnati,OH,51-200,-1,Private Company,TV Broadcast & Cable Networks,Media,5 to 10 million,,
135,Product Analyst - Data,59000.0,85000,2.7,William Hill US,Jersey City,NJ,London,United Kingdom,10000+,1934,Public Company,Gambling,"Arts, Entertainment & Recreation",2 to 5 billion,1.0,True
136,Senior Data Analyst,59000.0,85000,4.1,Rockstar Games,New York,NY,New York,NY,1001-5000,1998,Business,Video Games,Media,10 to 25 million,,
137,Data Analyst,59000.0,85000,4.4,ZDAAS,Brooklyn,NY,Baltimore,MD,1-50,-1,Private Company,,,1 to 5 million,,
138,Market Research Data Analyst - Physician Technology,59000.0,85000,3.1,Decision Resources Group,New York,NY,Burlington,MA,1001-5000,1990,Business,IT Services,Information Technology,100 to 500 million,2.0,
139,Data Analyst,59000.0,85000,3.0,Highbridge Consulting LLC,New York,NY,Pleasantville,NY,1-50,-1,Private Company,,,,,
140,Look ML Data Analyst,59000.0,85000,2.9,"NTT DATA, Inc.",New York,NY,Singapore,Singapore,201-500,-1,Private Company,Accounting,Accounting & Legal,,,
141,Data Collection Analyst,59000.0,85000,3.9,Columbia University,New York,NY,New York,NY,10000+,1938,Education,Colleges & Universities,Education,2 to 5 billion,,
142,Data Analyst,59000.0,85000,4.2,Precision technologies corp,New York,NY,New Brunswick,NJ,201-500,2008,Private Company,IT Services,Information Technology,10 to 25 million,,
143,DATA ENTRY/ BILLING ANALYST,59000.0,85000,3.9,Cactus Holdings,Queens Village,NY,Mumbai,India,1001-5000,2002,Private Company,Research & Development,Business Services,,,
144,Student Persistence Initiative Data Analyst/Scientist,59000.0,85000,4.2,Cuny Research Foundation,New York,NY,New York,NY,10000+,1963,Nonprofit Organization,Colleges & Universities,Education,100 to 500 million,,
145,Data Quality Analyst,59000.0,85000,-1.0,SGA Inc.,New York,NY,Bethesda,MD,1-50,1996,Private Company,Architectural & Engineering Services,Business Services,1 to 5 million,,
146,Data Governance Analyst,59000.0,85000,5.0,Crossfire Consulting Corporation,New York,NY,Yorktown Heights,NY,51-200,-1,Private Company,Consulting,Business Services,5 to 10 million,,
147,Sr. Business Intelligence Engineer / Data Analyst,59000.0,85000,3.9,Amazon,New York,NY,Seattle,WA,10000+,1994,Public Company,Internet,Information Technology,10+ billion,3.0,
148,Data Analyst,59000.0,85000,3.4,Voice,Brooklyn,NY,,,,-1,Private Company,,,,,
149,Data Analyst,59000.0,85000,2.9,"NTT DATA, Inc.",New York,NY,Singapore,Singapore,201-500,-1,Private Company,Accounting,Accounting & Legal,,,
150,Data Analyst,43000.0,76000,4.0,NYU Langone Health,New York,NY,New York,NY,10000+,1841,Hospital,Health Care Services & Hospitals,Health Care,5 to 10 billion,2.0,
151,Healthcare Data/Reporting Analyst,43000.0,76000,3.6,HOMETEAM,New York,NY,New York,NY,51-200,2013,Private Company,Health Care Services & Hospitals,Health Care,,2.0,
152,Data Analyst I - Geriatrics and Palliative Care,43000.0,76000,3.4,Mount Sinai Health System,New York,NY,New York,NY,10000+,2013,Hospital,Health Care Services & Hospitals,Health Care,1 to 2 billion,,
153,Data Analyst,43000.0,76000,-1.0,Monkey Algorithms LLC,New York,NY,,,,-1,,,,,,
154,Data Analyst/Rochade,43000.0,76000,3.3,"Halcyon Solutions, Inc.",New York,NY,Dublin,OH,51-200,1992,Private Company,IT Services,Information Technology,10 to 25 million,,
155,"Data Analyst, Revenue Analytics",43000.0,76000,3.2,Roman,New York,NY,Bloomingdale,IL,201-500,-1,Private Company,,,25 to 50 million,,
156,Data Analyst,43000.0,76000,3.8,COUNCIL ON ACCREDITATION,New York,NY,New York,NY,51-200,1977,Nonprofit Organization,Social Assistance,Non-Profit,10 to 25 million,,
157,Data Analyst,43000.0,76000,-1.0,APR Staffing,New York,NY,,,,-1,,,,,,
158,"Data Analyst II, Division of Gastroenterology (Research)",43000.0,76000,3.4,Mount Sinai Health System,New York,NY,New York,NY,10000+,2013,Hospital,Health Care Services & Hospitals,Health Care,1 to 2 billion,,
159,"Data Analyst, Student Success Program",43000.0,76000,3.2,Child Mind Institute,New York,NY,New York,NY,201-500,2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,25 to 50 million,,
160,Big Data QA Analyst with Jupyter notebook,43000.0,76000,3.2,COOLSOFT,Newark,NJ,Louisville,KY,51-200,-1,Private Company,"Health, Beauty, & Fitness",Consumer Services,10 to 25 million,,
161,"Analyst, Data Centers Industry",43000.0,76000,3.3,451 Research,New York,NY,New York,NY,201-500,2000,Private Company,Research & Development,Business Services,,3.0,
162,Data Analyst,43000.0,76000,-1.0,Stark HR Consulting LLC,New York,NY,,,,-1,,,,,,
163,Financial - Data Analyst,43000.0,76000,3.8,Amenity Analytics,New York,NY,New York,NY,51-200,2015,Private Company,Enterprise Software & Network Solutions,Information Technology,,,
164,Data Analyst with Data Scanning and Profiling,43000.0,76000,3.3,"Halcyon Solutions, Inc.",New York,NY,Dublin,OH,51-200,1992,Private Company,IT Services,Information Technology,10 to 25 million,,
165,Business Analyst - Data Governance,43000.0,76000,4.1,Rockstar Games,New York,NY,New York,NY,1001-5000,1998,Business,Video Games,Media,10 to 25 million,,
166,Senior Data Analyst - Health Economist,43000.0,76000,2.9,Vericred,New York,NY,New York,NY,1-50,2015,Private Company,Internet,Information Technology,,,
167,Lead Data Insights Analyst,43000.0,76000,-1.0,TapRm,Brooklyn,NY,New York,NY,,-1,,,,,,
168,Research Analyst (Data Science),43000.0,76000,3.4,APCO Worldwide,New York,NY,Washington,DC,501-1000,1984,Private Company,Consulting,Business Services,100 to 500 million,3.0,
